Published,Sentiment Score
2024-11-28,0.15
2024-12-02,0.4375
2024-12-03,0.45
2024-12-04,0.55
2024-12-05,0.43333333333333335
2024-12-06,0.5499999999999999
2024-12-07,0.8
2024-12-09,0.5625
2024-12-10,0.325
2024-12-11,0.42500000000000004
2024-12-13,0.4
2024-12-14,0.35
2024-12-15,0.225
2024-12-16,0.43500000000000005
2024-12-17,0.4666666666666666
2024-12-18,0.3833333333333333
2024-12-19,0.45
2024-12-20,0.2625
2024-12-23,0.8
2024-12-26,0.475
2024-12-27,0.6
2024-12-28,0.2
2024-12-31,0.5666666666666667
2025-01-01,0.4000000000000001
2025-01-02,0.34615384615384615
2025-01-03,0.4555555555555556
2025-01-04,0.7
2025-01-05,0.6
2025-01-06,0.42857142857142855
2025-01-07,0.4833333333333333
2025-01-08,0.4
2025-01-09,0.7
2025-01-10,0.35000000000000003
2025-01-13,0.3333333333333333
2025-01-14,0.5
2025-01-15,0.5833333333333334
2025-01-16,0.42000000000000004
2025-01-17,0.5499999999999999
2025-01-19,0.2
2025-01-20,0.5666666666666667
2025-01-21,0.5125
2025-01-22,0.45
2025-01-23,0.5
2025-01-24,0.275
2025-01-26,0.75
2025-01-27,0.7000000000000001
2025-01-28,0.6
2025-01-29,0.5125000000000001
2025-01-30,0.4666666666666667
2025-01-31,0.5388888888888889
2025-02-01,0.55
2025-02-02,0.3
2025-02-03,0.3727272727272727
2025-02-04,0.43333333333333335
2025-02-05,0.425
2025-02-06,0.39999999999999997
2025-02-07,0.31875
2025-02-08,0.0
2025-02-09,0.4
2025-02-10,0.6
2025-02-11,0.42142857142857143
2025-02-12,0.3333333333333333
2025-02-13,0.3666666666666667
2025-02-14,0.41
2025-02-15,0.2
2025-02-16,0.26666666666666666
2025-02-17,0.5
2025-02-18,0.4000000000000001
2025-02-19,0.5375
2025-02-20,0.5473684210526316
2025-02-21,0.3
2025-02-22,0.475
2025-02-23,0.2
2025-02-24,0.3875
2025-02-25,0.3692307692307692
2025-02-26,0.2833333333333333
2025-02-27,0.31875000000000003
2025-02-28,0.36
