Published,Sentiment Score,Close,High,Low,Open,Volume,score_sq,score_cu,score_dev,inverted_score,skewed_score,inverted_skewed_score
2024-04-16,0.25,157.11000061035156,158.19000244140625,153.75,156.74000549316406,97000000,0.0625,0.015625,0.25,0.75,0.0625,0.5625
2024-04-19,0.2,147.0500030517578,150.94000244140625,146.22000122070312,148.97000122070312,86005100,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-04-22,0.35,142.0500030517578,144.44000244140625,138.8000030517578,140.55999755859375,107097600,0.12249999999999998,0.04287499999999999,0.15000000000000002,0.65,0.12249999999999998,0.42250000000000004
2024-04-23,0.35,144.67999267578125,147.25999450683594,141.11000061035156,143.3300018310547,124545100,0.12249999999999998,0.04287499999999999,0.15000000000000002,0.65,0.12249999999999998,0.42250000000000004
2024-04-24,0.65,162.1300048828125,167.97000122070312,157.50999450683594,162.83999633789062,181178000,0.42250000000000004,0.274625,0.15000000000000002,0.35,0.42250000000000004,0.12249999999999998
2024-04-26,0.1416666666666667,168.2899932861328,172.1199951171875,166.3699951171875,168.85000610351562,109815700,0.020069444444444452,0.0028431712962962976,0.3583333333333333,0.8583333333333333,0.020069444444444452,0.736736111111111
2024-04-27,0.7,168.2899932861328,172.1199951171875,166.3699951171875,168.85000610351562,109815700,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-04-29,0.6340000000000001,194.0500030517578,198.8699951171875,184.5399932861328,188.4199981689453,243869700,0.40195600000000015,0.2548401040000001,0.13400000000000012,0.3659999999999999,0.40195600000000015,0.1339559999999999
2024-04-30,0.375,183.27999877929688,190.9499969482422,182.83999633789065,186.97999572753903,127031800,0.140625,0.052734375,0.125,0.625,0.140625,0.390625
2024-05-02,0.7,180.00999450683594,184.6000061035156,176.02000427246094,182.86000061035156,89148000,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-05-03,0.3999999999999999,181.19000244140625,184.77999877929688,178.4199981689453,182.1000061035156,75491500,0.15999999999999992,0.06399999999999996,0.10000000000000009,0.6000000000000001,0.15999999999999992,0.3600000000000001
